idProduct,firm,product,segment,price,share,delta,cals,fat,sugar,shelf_price,ad_price,share_pct,outside_share,cons,idfirm,idsegment,total_firm_cals,total_all_cals,n_firm_cals,own_cals,rival_cals,total_firm_fat,total_all_fat,n_firm_fat,own_fat,rival_fat,total_firm_sugar,total_all_sugar,n_firm_sugar,own_sugar,rival_sugar,n_products_firm,n_total_products,n_rival_products,nest_share,share_within_nest,log_share_within_nest,n_products_nest,n_same_nest_other,n_rival_nest,total_nest_cals,nest_own_cals,nest_rival_cals,total_nest_fat,nest_own_fat,nest_rival_fat,total_nest_sugar,nest_own_sugar,nest_rival_sugar,xi_nested
11,QK,100%Natural,Adult,2.24,0.0196,-2.517120269771655,220,8,13.5,2.55,1.612,1.96,0.2429,1,5,1,665,7281,4,445,6616,13.5,80.4,4,5.5,66.9,47.3,505.4,4,33.8,458.09999999999997,4,50,46,0.3293,0.05952019435165503,-2.821439623145847,25,24,25,4116,3896,3165,52.6,44.6,27.800000000000004,219.6,206.1,285.79999999999995,0.03467404859819889
12,KG,FrostedMiniWheats,Adult,2.62,0.0184,-2.580299171393187,170,1,10,2.75,6.106,1.84,0.2429,1,2,1,2300,7281,17,2130,4981,19,80.4,17,18,61.400000000000006,164,505.4,17,154,341.4,17,50,33,0.3293,0.055876100819921046,-2.8846185247673786,25,24,25,4116,3946,3165,52.6,51.6,27.800000000000004,219.6,209.6,285.79999999999995,0.0945628139106156
13,KG,NutriGrain,Adult,2.8699999999999997,0.0155,-2.751809812082926,100,1,0,3.1,2.508,1.55,0.2429,1,2,1,2300,7281,17,2200,4981,19,80.4,17,18,61.400000000000006,164,505.4,17,164,341.4,17,50,33,0.3293,0.047069541451563925,-3.0561291654571177,25,24,25,4116,4016,3165,52.6,51.6,27.800000000000004,219.6,219.6,285.79999999999995,-0.03362124786722043
14,KG,Mueslix,Adult,3.3099999999999996,0.015300000000000001,-2.7647970076097375,200,4,13,3.58,1.9749999999999999,1.53,0.2429,1,2,1,2300,7281,17,2100,4981,19,80.4,17,15,61.400000000000006,164,505.4,17,151,341.4,17,50,33,0.3293,0.046462192529608266,-3.0691163609839287,25,24,25,4116,3916,3165,52.6,48.6,27.800000000000004,219.6,206.6,285.79999999999995,0.3638072219979167
15,GM,Wheaties,Fam,2.55,0.0152,-2.7713544081558963,110,1,4,2.86,2.257,1.52,0.2429,1,1,2,2550,7281,18,2440,4731,32.3,80.4,18,31.299999999999997,48.10000000000001,202,505.4,18,198,303.4,18,50,32,0.3069,0.04952753339850114,-3.0052265337734596,13,12,37,1750,1640,5531,14,13,66.4,140,136,365.4,-0.160027114493825
16,PT,RaisinBran,Fam,2.23,0.0146,-2.8116283072938364,190,1,20,2.57,4.361,1.46,0.2429,1,4,2,950,7281,6,760,6331,10.7,80.4,6,9.7,69.7,66.5,505.4,6,46.5,438.9,6,50,44,0.3069,0.04757249918540241,-3.0455004329113997,13,12,37,1750,1560,5531,14,13,66.4,140,120,365.4,-0.09891826039993057
17,RL,Muesli,Adult,3.34,0.0126,-2.9589530220506948,210,2.7,14,3.9299999999999997,0.21500000000000002,1.26,0.2429,1,6,1,330,7281,2,120,6951,2.7,80.4,2,0,77.7,16,505.4,2,2,489.4,2,50,48,0.3293,0.038262982083206803,-3.2632723754248865,25,24,25,4116,3906,3165,52.6,49.9,27.800000000000004,219.6,205.6,285.79999999999995,0.2607869222329471
18,KG,CornPops,Fam,3.51,0.0146,-2.8116283072938364,120,0,14,3.69,3.198,1.46,0.2429,1,2,2,2300,7281,17,2180,4981,19,80.4,17,19,61.400000000000006,164,505.4,17,150,341.4,17,50,33,0.3069,0.04757249918540241,-3.0455004329113997,13,12,37,1750,1630,5531,14,14,66.4,140,126,365.4,0.4328168456178114
19,GM,RaisinNutBran,Adult,2.98,0.013500000000000002,-2.889960150563743,210,4.5,16,3.22,1.659,1.35,0.2429,1,1,1,2550,7281,18,2340,4731,32.3,80.4,18,27.799999999999997,48.10000000000001,202,505.4,18,186,303.4,18,50,32,0.3293,0.04099605223200729,-3.194279503937935,25,24,25,4116,3906,3165,52.6,48.1,27.800000000000004,219.6,203.6,285.79999999999995,0.1787332263457797
20,GM,Basic4,Adult,3.27,0.0131,-2.9200376058010216,210,3,12,3.63,2.51,1.31,0.2429,1,1,1,2550,7281,18,2340,4731,32.3,80.4,18,29.299999999999997,48.10000000000001,202,505.4,18,190,303.4,18,50,32,0.3293,0.03978135438809596,-3.224356959175213,25,24,25,4116,3906,3165,52.6,49.6,27.800000000000004,219.6,207.6,285.79999999999995,0.21925393300185458
21,GM,CocoaPus,Kids,3.46,0.0128,-2.943204665082556,120,1,14,3.67,2.097,1.28,0.2429,1,1,3,2550,7281,18,2430,4731,32.3,80.4,18,31.299999999999997,48.10000000000001,202,505.4,18,188,303.4,18,50,32,0.1215,0.10534979423868314,-2.2504690918550314,12,11,38,1415,1295,5866,13.8,12.8,66.60000000000001,145.8,131.8,359.59999999999997,-0.013303322814085305
22,GM,GoldenGrahams,Kids,3.24,0.0124,-2.9749533633971357,120,1,11,3.54,2.953,1.24,0.2429,1,1,3,2550,7281,18,2430,4731,32.3,80.4,18,31.299999999999997,48.10000000000001,202,505.4,18,191,303.4,18,50,32,0.1215,0.10205761316872428,-2.282217790169612,12,11,38,1415,1295,5866,13.8,12.8,66.60000000000001,145.8,134.8,359.59999999999997,-0.18958481142807282
23,GM,Cinn.ToastCrunch,Kids,3.36,0.0123,-2.9830505736297557,130,3,10,3.56,2.963,1.23,0.2429,1,1,3,2550,7281,18,2420,4731,32.3,80.4,18,29.299999999999997,48.10000000000001,202,505.4,18,192,303.4,18,50,32,0.1215,0.10123456790123457,-2.2903150004022312,12,11,38,1415,1285,5866,13.8,10.8,66.60000000000001,145.8,135.8,359.59999999999997,-0.14688113016770188
24,KG,FrootLoops,Kids,3.53,0.012,-3.007743186220127,120,1,15,3.7600000000000002,3.11,1.2,0.2429,1,2,3,2300,7281,17,2180,4981,19,80.4,17,18,61.400000000000006,164,505.4,17,149,341.4,17,50,33,0.1215,0.09876543209876544,-2.315007612992603,12,11,38,1415,1295,5866,13.8,12.8,66.60000000000001,145.8,130.8,359.59999999999997,-0.0031762639408141613
25,KG,LowFatGranola,Adult,2.68,0.011700000000000002,-3.0330609942044164,190,3,12,3.1,2.327,1.1700000000000002,0.2429,1,2,1,2300,7281,17,2110,4981,19,80.4,17,16,61.400000000000006,164,505.4,17,152,341.4,17,50,33,0.3293,0.03552991193440633,-3.3373803475786077,25,24,25,4116,3926,3165,52.6,49.6,27.800000000000004,219.6,207.6,285.79999999999995,-0.12268494884784875
26,GM,Trix,Kids,3.96,0.011300000000000001,-3.067847110289832,120,1.5,13,4.22,3.2359999999999998,1.1300000000000001,0.2429,1,1,3,2550,7281,18,2430,4731,32.3,80.4,18,30.799999999999997,48.10000000000001,202,505.4,18,189,303.4,18,50,32,0.1215,0.09300411522633746,-2.375111537062308,12,11,38,1415,1295,5866,13.8,12.3,66.60000000000001,145.8,132.8,359.59999999999997,0.13231082913902603
27,GM,Triples,Adult,2.3299999999999996,0.011200000000000002,-3.0767360577070777,120,1,6,2.8,3.0359999999999996,1.12,0.2429,1,1,1,2550,7281,18,2430,4731,32.3,80.4,18,31.299999999999997,48.10000000000001,202,505.4,18,196,303.4,18,50,32,0.3293,0.03401153962951716,-3.38105541108127,25,24,25,4116,3996,3165,52.6,51.6,27.800000000000004,219.6,213.6,285.79999999999995,-0.3997652750713052
28,KG,Crispix,Adult,3.2800000000000002,0.011200000000000002,-3.0767360577070777,110,0,3,3.4899999999999998,3.225,1.12,0.2429,1,2,1,2300,7281,17,2190,4981,19,80.4,17,19,61.400000000000006,164,505.4,17,161,341.4,17,50,33,0.3293,0.03401153962951716,-3.38105541108127,25,24,25,4116,4006,3165,52.6,52.6,27.800000000000004,219.6,216.6,285.79999999999995,-0.0014177094203229323
29,GM,Kix,Kids,3.67,0.0108,-3.113103701877953,120,0.8,6,3.9299999999999997,3.8009999999999997,1.08,0.2429,1,1,3,2550,7281,18,2430,4731,32.3,80.4,18,31.499999999999996,48.10000000000001,202,505.4,18,196,303.4,18,50,32,0.1215,0.08888888888888889,-2.4203681286504293,12,11,38,1415,1295,5866,13.8,13,66.60000000000001,145.8,139.8,359.59999999999997,-0.15919447907579676
30,GM,LuckyCharms,Kids,3.4499999999999997,0.0108,-3.113103701877953,120,1,13,3.72,3.0789999999999997,1.08,0.2429,1,1,3,2550,7281,18,2430,4731,32.3,80.4,18,31.299999999999997,48.10000000000001,202,505.4,18,189,303.4,18,50,32,0.1215,0.08888888888888889,-2.4203681286504293,12,11,38,1415,1295,5866,13.8,12.8,66.60000000000001,145.8,132.8,359.59999999999997,-0.1417257690049606
31,GM,AppleCinn.Cheerios,Fam,3.02,0.0106,-3.131795834890106,120,2,13,3.3499999999999996,3.12,1.06,0.2429,1,1,2,2550,7281,18,2430,4731,32.3,80.4,18,30.299999999999997,48.10000000000001,202,505.4,18,189,303.4,18,50,32,0.3069,0.03453893776474422,-3.365667960507669,13,12,37,1750,1630,5531,14,12,66.4,140,127,365.4,-0.005298267361733666
32,KG,CracklinOatBran,Adult,3.19,0.0106,-3.131795834890106,190,6,15,3.51,2.279,1.06,0.2429,1,2,1,2300,7281,17,2110,4981,19,80.4,17,13,61.400000000000006,164,505.4,17,149,341.4,17,50,33,0.3293,0.03218949286365017,-3.436115188264297,25,24,25,4116,3926,3165,52.6,46.6,27.800000000000004,219.6,204.6,285.79999999999995,0.12879625431367092
33,NB,BigBiscuitShdWt,Adult,2.79,0.009899999999999999,-3.200115078867583,156,1.2,9.6,3.05,0,0.99,0.2429,1,3,1,486,7281,3,330,6795,2.2,80.4,3,1.0000000000000002,78.2,9.6,505.4,3,0,495.79999999999995,3,50,47,0.3293,0.030063771636805344,-3.504434432241774,25,24,25,4116,3960,3165,52.6,51.4,27.800000000000004,219.6,210,285.79999999999995,-0.2118317567478989
34,PT,HoneyBunchesofOats,Adult,2.8499999999999996,0.0095000000000000015,-3.241358037401632,125,2.2,6,3.18,3.749,0.9500000000000001,0.2429,1,4,1,950,7281,6,825,6331,10.7,80.4,6,8.5,69.7,66.5,505.4,6,60.5,438.9,6,50,44,0.3293,0.028849073792894024,-3.5456773907758232,25,24,25,4116,3991,3165,52.6,50.4,27.800000000000004,219.6,213.6,285.79999999999995,-0.250335969114728
35,PT,GreatGraines,Adult,2.9,0.0089,-3.306598559270033,215,5.5,10.5,3.4299999999999997,2.648,0.89,0.2429,1,4,1,950,7281,6,735,6331,10.7,80.4,6,5.199999999999999,69.7,66.5,505.4,6,56,438.9,6,50,44,0.3293,0.02702702702702703,-3.6109179126442243,25,24,25,4116,3901,3165,52.6,47.1,27.800000000000004,219.6,209.1,285.79999999999995,-0.2111928652898396
36,GM,OtmlRaisinCrisp,Adult,2.71,0.0097,-3.22052395049879,210,2.5,19,3.04,1.641,0.97,0.2429,1,1,1,2550,7281,18,2340,4731,32.3,80.4,18,29.799999999999997,48.10000000000001,202,505.4,18,183,303.4,18,50,32,0.3293,0.029456422714849682,-3.5248433038729816,25,24,25,4116,3906,3165,52.6,50.1,27.800000000000004,219.6,200.6,285.79999999999995,-0.11759021803569603
37,QK,OatSquares,Adult,2.4299999999999997,0.0094,-3.251940146732169,220,3,9,2.71,1.472,0.9400000000000001,0.2429,1,5,1,665,7281,4,445,6616,13.5,80.4,4,10.5,66.9,47.3,505.4,4,38.3,458.09999999999997,4,50,46,0.3293,0.028545399331916188,-3.55625950010636,25,24,25,4116,3896,3165,52.6,49.6,27.800000000000004,219.6,210.6,285.79999999999995,-0.4445518726811233
38,RL,RiceChex,Adult,3.4,0.0089,-3.306598559270033,120,0,2,3.53,0.8750000000000001,0.89,0.2429,1,6,1,330,7281,2,210,6951,2.7,80.4,2,2.7,77.7,16,505.4,2,14,489.4,2,50,48,0.3293,0.02702702702702703,-3.6109179126442243,25,24,25,4116,3996,3165,52.6,52.6,27.800000000000004,219.6,217.6,285.79999999999995,-0.11028215294049493
39,GM,TotalRaisinBran,Adult,3,0.0089,-3.306598559270033,180,1,19,3.5,1.874,0.89,0.2429,1,1,1,2550,7281,18,2370,4731,32.3,80.4,18,31.299999999999997,48.10000000000001,202,505.4,18,183,303.4,18,50,32,0.3293,0.02702702702702703,-3.6109179126442243,25,24,25,4116,3936,3165,52.6,51.6,27.800000000000004,219.6,200.6,285.79999999999995,-0.028980886733852795
40,KG,Product19,Adult,3.38,0.0089,-3.306598559270033,100,0,4,3.7,1.408,0.89,0.2429,1,2,1,2300,7281,17,2200,4981,19,80.4,17,19,61.400000000000006,164,505.4,17,160,341.4,17,50,33,0.3293,0.02702702702702703,-3.6109179126442243,25,24,25,4116,4016,3165,52.6,52.6,27.800000000000004,219.6,215.6,285.79999999999995,-0.07585977749010309
41,KG,AppleJacks,Kids,3.64,0.008400000000000001,-3.3644181301588594,120,1,16,3.9099999999999997,1.4649999999999999,0.8400000000000001,0.2429,1,2,3,2300,7281,17,2180,4981,19,80.4,17,18,61.400000000000006,164,505.4,17,148,341.4,17,50,33,0.1215,0.06913580246913581,-2.671682556931335,12,11,38,1415,1295,5866,13.8,12.8,66.60000000000001,145.8,129.8,359.59999999999997,-0.1569919317095072
42,QK,CaptCrunch,Kids,2.55,0.0083,-3.3763943212055745,105,1.5,11.5,2.86,1.714,0.8300000000000001,0.2429,1,5,3,665,7281,4,560,6616,13.5,80.4,4,12,66.9,47.3,505.4,4,35.8,458.09999999999997,4,50,46,0.1215,0.06831275720164609,-2.683658747978051,12,11,38,1415,1310,5866,13.8,12.3,66.60000000000001,145.8,134.3,359.59999999999997,-0.7502664559316807
43,NB,ShreddedWheat,Adult,2.82,0.008,-3.4132082943282915,160,0.5,0,3,2.925,0.8,0.2429,1,3,1,486,7281,3,326,6795,2.2,80.4,3,1.7000000000000002,78.2,9.6,505.4,3,9.6,495.79999999999995,3,50,47,0.3293,0.024293956878226542,-3.717527647702483,25,24,25,4116,3956,3165,52.6,52.1,27.800000000000004,219.6,219.6,285.79999999999995,-0.5030394521576824
44,PT,FruityPebbles,Kids,3.21,0.0083,-3.3763943212055745,110,1,12,3.48,1.71,0.8300000000000001,0.2429,1,4,3,950,7281,6,840,6331,10.7,80.4,6,9.7,69.7,66.5,505.4,6,54.5,438.9,6,50,44,0.1215,0.06831275720164609,-2.683658747978051,12,11,38,1415,1305,5866,13.8,12.8,66.60000000000001,145.8,133.8,359.59999999999997,-0.4333055946218194
45,GM,Clusters,Fam,3.14,0.007799999999999999,-3.438526102312581,210,3.5,14,3.52,1.4249999999999998,0.7799999999999999,0.2429,1,1,2,2550,7281,18,2340,4731,32.3,80.4,18,28.799999999999997,48.10000000000001,202,505.4,18,188,303.4,18,50,32,0.3069,0.025415444770283475,-3.672398227930145,13,12,37,1750,1540,5531,14,10.5,66.4,140,126,365.4,-0.15593086016365754
46,KG,CinnamonMiniBuns,Fam,2.75,0.0076,-3.4645015887158417,120,0.5,12,3.14,0.002,0.76,0.2429,1,2,2,2300,7281,17,2180,4981,19,80.4,17,18.5,61.400000000000006,164,505.4,17,152,341.4,17,50,33,0.3069,0.02476376669925057,-3.698373714333405,13,12,37,1750,1630,5531,14,13.5,66.4,140,128,365.4,-0.3688332585941161
47,KG,DoubleDipCrunch,Adult,3.01,0.0073,-3.504775487853782,110,0,11,3.52,1.454,0.73,0.2429,1,2,1,2300,7281,17,2190,4981,19,80.4,17,19,61.400000000000006,164,505.4,17,153,341.4,17,50,33,0.3293,0.02216823565138172,-3.809094841227973,25,24,25,4116,4006,3165,52.6,52.6,27.800000000000004,219.6,208.6,285.79999999999995,-0.2598134683630231
48,GM,MultiGrainCheerios,Fam,3.34,0.0075,-3.4777468154658626,110,1,15,3.74,2.52,0.75,0.2429,1,1,2,2550,7281,18,2440,4731,32.3,80.4,18,31.299999999999997,48.10000000000001,202,505.4,18,187,303.4,18,50,32,0.3069,0.024437927663734114,-3.711618941083426,13,12,37,1750,1640,5531,14,13,66.4,140,125,365.4,-0.03690709357911137
49,PT,Honeycomb,Kids,3.4,0.0074,-3.4911698357980026,110,0,11,3.67,2.567,0.74,0.2429,1,4,3,950,7281,6,840,6331,10.7,80.4,6,10.7,69.7,66.5,505.4,6,55.5,438.9,6,50,44,0.1215,0.060905349794238686,-2.798434262570479,12,11,38,1415,1305,5866,13.8,13.8,66.60000000000001,145.8,134.8,359.59999999999997,-0.4384357928042939
50,QK,Popeye,Kids,1.77,0.006699999999999999,-3.590542309611207,120,1,13.3,1.77,0,0.6699999999999999,0.2429,1,5,3,665,7281,4,545,6616,13.5,80.4,4,12.5,66.9,47.3,505.4,4,34,458.09999999999997,4,50,46,0.1215,0.05514403292181069,-2.897806736383683,12,11,38,1415,1295,5866,13.8,12.8,66.60000000000001,145.8,132.5,359.59999999999997,-1.2344662344309416
