rep,produto,em_boot
1,bfvl,-1.029263040522158
1,pork,-1.077535320972834
1,poult,-3.082992218265069
1,fish,.4694123104581129
2,bfvl,-.5035088549636653
2,pork,-.0947100023248162
2,poult,-2.071460195768555
2,fish,.3681672148512773
3,bfvl,-.6793072454845651
3,pork,.7945862540173998
3,poult,-1.092602578549065
3,fish,1.670238917741441
4,bfvl,-.8468111406657876
4,pork,1.045802450149145
4,poult,-2.994360521509356
4,fish,.4747552049910058
5,bfvl,-1.226237181031363
5,pork,-.0687237172620857
5,poult,-3.199702416059628
5,fish,.7105313631751398
6,bfvl,-1.216148517668796
6,pork,-1.666406508493798
6,poult,-4.307797160630619
6,fish,.3560536045072065
7,bfvl,-1.445260116683721
7,pork,-.6430574407452105
7,poult,-2.876255286049059
7,fish,.5326674323804139
8,bfvl,-1.033271143606208
8,pork,6.139771000692333
8,poult,5.334899574242243
8,fish,1.165973296221721
9,bfvl,-1.690629978971532
9,pork,-1.303321229377347
9,poult,-5.606380612769847
9,fish,.0161028906468261
10,bfvl,-1.573472575841077
10,pork,-.0649873490594329
10,poult,-2.14959804724125
10,fish,.5810418303618494
11,bfvl,-.9582880561983194
11,pork,-.3616992745735413
11,poult,-2.469602146211074
11,fish,.5055902258625329
12,bfvl,-1.389755937869099
12,pork,-.5244010358248186
12,poult,-2.921881951582454
12,fish,.5986614679844382
13,bfvl,-1.706710100610752
13,pork,.5644108612879748
13,poult,-1.220882712924533
13,fish,.3306662145911359
14,bfvl,-1.54729585912588
14,pork,-1.908452132695517
14,poult,-4.891288276223949
14,fish,.1595746477458613
15,bfvl,-1.711347432613844
15,pork,-.6650192211421819
15,poult,-3.767334310041701
15,fish,.6495865337660085
16,bfvl,-1.371081729866584
16,pork,-.8958717910888394
16,poult,-3.615132416275534
16,fish,.3619200934555331
17,bfvl,-1.084340692389531
17,pork,-.4212410558579458
17,poult,-3.357682297727384
17,fish,.5339735703533406
18,bfvl,-1.986870423762844
18,pork,-1.65843102389355
18,poult,-4.330841837538086
18,fish,.4255236339794102
19,bfvl,-1.836156302349203
19,pork,.3578243828193783
19,poult,-2.493135154321774
19,fish,.1652771293263866
20,bfvl,-1.168696544831034
20,pork,-.3098002611777867
20,poult,-1.794437865579159
20,fish,.4402156265927692
21,bfvl,-1.227904083698921
21,pork,-1.133175340728134
21,poult,-4.347424298232677
21,fish,.7911897077610517
22,bfvl,-1.201626267865975
22,pork,-.5417111019298163
22,poult,-2.346833061969106
22,fish,.5408616294895725
23,bfvl,-1.693891401682037
23,pork,-1.052726130622308
23,poult,-4.124032506971719
23,fish,.3688627965840925
24,bfvl,-1.728342797549553
24,pork,-.8676903395338402
24,poult,-3.241966057465517
24,fish,.5044362682511472
25,bfvl,-1.466971661742253
25,pork,-.8056111744749996
25,poult,-3.056841811013292
25,fish,.63309701128458
26,bfvl,-1.273910298770478
26,pork,-.1069698450455825
26,poult,-.3041390188808966
26,fish,1.02703187040209
27,bfvl,-1.844838358922526
27,pork,-2.52816894065488
27,poult,-7.347391521405239
27,fish,-.1130083194632252
28,bfvl,-.9485926806436048
28,pork,-.7120635656288052
28,poult,-1.43142451992325
28,fish,.8149938620074149
29,bfvl,-1.483091812410821
29,pork,-1.133490183213763
29,poult,-4.050027013719319
29,fish,.5655006060545746
30,bfvl,-1.504725594255455
30,pork,.2346459425824088
30,poult,-1.460046107959357
30,fish,.6982360026220791
31,bfvl,-1.429048971318243
31,pork,-.4617525475578818
31,poult,-3.547341268349421
31,fish,.743509974870594
32,bfvl,-1.600125904996961
32,pork,-1.214615336830069
32,poult,-4.238365365379485
32,fish,.4126047554508279
33,bfvl,-1.354062782272321
33,pork,.1851502529754583
33,poult,-1.467924741668863
33,fish,.7541980058628961
34,bfvl,-1.069406292038485
34,pork,-1.360057637743576
34,poult,-4.430212612745373
34,fish,.2957019577760529
35,bfvl,-.7144112139088692
35,pork,-.3678452642684854
35,poult,-4.958750447121885
35,fish,.6232309348590248
36,bfvl,-1.891984714348595
36,pork,-2.060377775870392
36,poult,-5.152845485908374
36,fish,.091800177013414
37,bfvl,-.9564158430261666
37,pork,-1.027969488221166
37,poult,-3.614390278674765
37,fish,.4164622249132501
38,bfvl,-1.049814582315434
38,pork,-.2529121593051973
38,poult,-1.840796176109236
38,fish,.7131310067924506
39,bfvl,-1.640183819772142
39,pork,-1.75826076884643
39,poult,-4.036642173904973
39,fish,.1504633309948216
40,bfvl,-.6217252393891811
40,pork,.7780685369286049
40,poult,-.9068493449759822
40,fish,.8098831918813834
41,bfvl,-.4265802350643986
41,pork,.8295949710394479
41,poult,2.12460073825851
41,fish,1.882532327792512
42,bfvl,-1.885853508252052
42,pork,-.9219175487438235
42,poult,-3.943311271940228
42,fish,.1542488359688503
43,bfvl,-1.978625470313714
43,pork,-2.157761311208441
43,poult,-5.533426365127116
43,fish,.3906363915551103
44,bfvl,-.7930268486283084
44,pork,-1.012170285932545
44,poult,-3.729804832455095
44,fish,.4824975654669545
45,bfvl,-1.570599167490007
45,pork,-2.275646400673156
45,poult,-5.795582903941879
45,fish,.2310975133101612
46,bfvl,-1.748073631894363
46,pork,-.7142642777030224
46,poult,-3.443077903914441
46,fish,.5244282076889308
47,bfvl,-1.572261101215695
47,pork,-1.379693648590324
47,poult,-5.421436678609601
47,fish,.3964943616896084
48,bfvl,-.7197408573666354
48,pork,.0725795442993753
48,poult,-1.077323092922823
48,fish,.8447547666968072
49,bfvl,-.9140721007043533
49,pork,-.427244020885216
49,poult,-2.592209435925077
49,fish,.7031357849778626
50,bfvl,-.8433663844763182
50,pork,-.5043574918272089
50,poult,-3.618036125991462
50,fish,1.163406199920864
51,bfvl,-1.103829315116257
51,pork,-.7838617740610843
51,poult,-2.558019762560507
51,fish,.7281976987397845
52,bfvl,-1.264633175396448
52,pork,-1.082392807809589
52,poult,-4.342780378136633
52,fish,.7697461012800775
53,bfvl,-1.01901161879511
53,pork,-.4276655818460043
53,poult,-1.57840465298507
53,fish,.6271816688833298
54,bfvl,-1.222347103223208
54,pork,-.8289800135469299
54,poult,-3.320345249778039
54,fish,.3334317859708504
55,bfvl,-.8033389474892456
55,pork,-.6749302103311842
55,poult,-3.748684315862376
55,fish,.3654732758787667
56,bfvl,-1.279041309354532
56,pork,-1.073344947169077
56,poult,-3.051598288963958
56,fish,.5119791854149573
57,bfvl,-1.339208518970422
57,pork,-1.207201350213948
57,poult,-5.094781983835095
57,fish,.3383412165092992
58,bfvl,-.8835726834339207
58,pork,-.6531921137294709
58,poult,-3.696871563872026
58,fish,.5641868841449291
59,bfvl,-1.606276437096922
59,pork,-.9882076736927138
59,poult,-3.870353023691206
59,fish,.2362284979658817
60,bfvl,-1.594848931080217
60,pork,-1.239562615828548
60,poult,-3.651446856311657
60,fish,.3276228653645559
61,bfvl,-1.729018600767406
61,pork,-.5080406698837061
61,poult,-2.763392745238551
61,fish,.5428007409995179
62,bfvl,-1.738039987809094
62,pork,-.9707100451968592
62,poult,-3.677411520227031
62,fish,.2189240942148003
63,bfvl,-1.762355151492384
63,pork,-1.068118085760936
63,poult,-3.417037182783492
63,fish,.3442802864711245
64,bfvl,-1.170608257586463
64,pork,.0109544101681243
64,poult,-2.039364470639365
64,fish,.3902733103041456
65,bfvl,-1.01702150290568
65,pork,.1375810896767165
65,poult,-1.94272620071893
65,fish,.6281878566734909
66,bfvl,-1.239311238748925
66,pork,-.0955878169520141
66,poult,-2.107490137729752
66,fish,.500642627814994
67,bfvl,-1.143089304060806
67,pork,.8038591931256129
67,poult,-.2346428271995912
67,fish,1.026279905166537
68,bfvl,-.9076108921309467
68,pork,-.2936099782252974
68,poult,-2.59268148759333
68,fish,.9444894520235416
69,bfvl,-1.408760980004234
69,pork,-.6725721161774649
69,poult,-3.156813485944365
69,fish,.4846771907501235
70,bfvl,-.6553206379599373
70,pork,7.32077837814243
70,poult,11.89596609453174
70,fish,1.818306827612821
71,bfvl,-1.205115272132232
71,pork,-.3169742310893302
71,poult,-1.797918778166679
71,fish,.7702058930507527
72,bfvl,4.404780788152946
72,pork,72.34098080213391
72,poult,110.4945426817889
72,fish,3.321003497770493
73,bfvl,-.8818371130198841
73,pork,-1.221750798387061
73,poult,-5.132921577751494
73,fish,1.126922614730784
74,bfvl,-1.486014899365884
74,pork,-1.336859326826179
74,poult,-4.367060084409038
74,fish,.1835899093637885
75,bfvl,-1.954759801582613
75,pork,-1.068109621660446
75,poult,-3.322009823230842
75,fish,.4333119566810562
76,bfvl,-.9597487039061525
76,pork,-1.237409343121925
76,poult,-5.08995460483025
76,fish,.3266492545312623
77,bfvl,-1.095023814883717
77,pork,4.166377553078578
77,poult,7.678519980024612
77,fish,1.891987403238062
78,bfvl,-1.04868948982429
78,pork,1.734047893350504
78,poult,1.428364581568584
78,fish,1.150540012994509
79,bfvl,-.9337165323593764
79,pork,.6116485231581721
79,poult,-.4308301908138928
79,fish,.8343885265284956
80,bfvl,-.934940902740985
80,pork,-.7619633990087421
80,poult,-3.217982006539245
80,fish,.8042810920774188
81,bfvl,-.017856910857494
81,pork,-.8221266980753523
81,poult,-2.165494374753504
81,fish,.728803251107651
82,bfvl,-1.526226725755478
82,pork,-.5539938984240631
82,poult,-3.017779133887329
82,fish,.4393343431991812
83,bfvl,-1.232287007936263
83,pork,-.7664307655398231
83,poult,-4.037631300627432
83,fish,.5897264752144233
84,bfvl,-.7580246966124654
84,pork,.6317790997003461
84,poult,-1.39545379504064
84,fish,1.266672817207324
85,bfvl,-1.384770279374855
85,pork,-1.473550244590878
85,poult,-4.335708501705005
85,fish,.3362947368978131
86,bfvl,-1.934448072084647
86,pork,-1.017527308702858
86,poult,-3.978512512186039
86,fish,.3663553855806816
87,bfvl,-1.784988070814854
87,pork,-1.044625295364832
87,poult,-3.962176606087995
87,fish,.2159566689035057
88,bfvl,-1.454558107115592
88,pork,-.753190396882379
88,poult,-3.317266102659933
88,fish,.5337138366506959
89,bfvl,-1.130893832205296
89,pork,2.66242887075191
89,poult,8.184560761357515
89,fish,1.825477014939097
90,bfvl,-1.019370299990545
90,pork,.33561725931556
90,poult,-.5221263880187121
90,fish,.729817703680713
91,bfvl,-1.830300104186604
91,pork,-1.425553814842573
91,poult,-4.568613510568619
91,fish,.3670642273419771
92,bfvl,-1.426439950500457
92,pork,-1.121118055345511
92,poult,-4.323363102836574
92,fish,.3366344301119883
93,bfvl,-1.870126335832357
93,pork,-.943511669918806
93,poult,-4.002831106618956
93,fish,.1723242195867734
94,bfvl,-1.378936344518122
94,pork,-.9675926902162515
94,poult,-3.823273403462281
94,fish,.4116287979725333
95,bfvl,-.6494988535583348
95,pork,-.195308617927924
95,poult,-3.804268818303759
95,fish,.8920888288689679
96,bfvl,-1.39229023460194
96,pork,-1.069373240976389
96,poult,-3.315650803829485
96,fish,.2695474694563134
97,bfvl,-.6017652502806842
97,pork,-.251930732378578
97,poult,-2.57648412903831
97,fish,.5595897050245913
98,bfvl,-1.597047659058881
98,pork,-.4959712592939343
98,poult,-2.878339306622364
98,fish,.739489018971397
99,bfvl,-1.363729820081432
99,pork,-1.034844889118774
99,poult,-3.664759268405213
99,fish,.2872957990628884
100,bfvl,-1.229299573117215
100,pork,.7334159561936797
100,poult,-.1255662369094215
100,fish,.7123424833507512
101,bfvl,-1.047034280215341
101,pork,.2804111464072427
101,poult,-1.481202861853177
101,fish,.9251595974492461
102,bfvl,-1.377012610895698
102,pork,.0112341512949945
102,poult,-1.946082409768836
102,fish,.5353148415169089
103,bfvl,-1.123341086388194
103,pork,-.4657606108703917
103,poult,-2.613715289350659
103,fish,.4630462841972989
104,bfvl,-.9457561649739797
104,pork,-.9880836424844093
104,poult,-5.128414808916299
104,fish,.6666367279714531
105,bfvl,-1.110687151260146
105,pork,-.1170337534886017
105,poult,-1.889549731637446
105,fish,.9043331087009108
106,bfvl,-.3910555339029069
106,pork,.0967957587260879
106,poult,-7.028960728495507
106,fish,.4675721769585035
107,bfvl,-1.272750576142475
107,pork,-.5185757825228017
107,poult,-1.521815198279165
107,fish,.6299637660926345
