"row_product","column_product","elasticity"
"CornFlakes","CornFlakes",-1.2614754666172
"Cheerios","CornFlakes",0.13863635082312
"RiceKrispies","CornFlakes",0.138636350709423
"FrostedFlakes","CornFlakes",0.138636350567622
"RaisinBran","CornFlakes",0.138636350875814
"Total","CornFlakes",0.0392913168472413
"HoneyNutCheerios","CornFlakes",0.138636350608987
"SpecialK","CornFlakes",0.039291316893116
"GrapeNuts","CornFlakes",0.0392913169218927
"SpoonSizeShdWt","CornFlakes",0.0392913167266305
"100%Natural","CornFlakes",0.0392913169001623
"FrostedMiniWheats","CornFlakes",0.0392913167322883
"NutriGrain","CornFlakes",0.0392913170866692
"Mueslix","CornFlakes",0.0392913166220435
"Wheaties","CornFlakes",0.138636350485299
"RaisinBran","CornFlakes",0.138636350794703
"Muesli","CornFlakes",0.0392913169008541
"CornPops","CornFlakes",0.138636350569747
"RaisinNutBran","CornFlakes",0.039291316863948
"Basic4","CornFlakes",0.0392913166602249
"CocoaPus","CornFlakes",0.0392913167277966
"GoldenGrahams","CornFlakes",0.0392913167215524
"Cinn.ToastCrunch","CornFlakes",0.0392913166767361
"FrootLoops","CornFlakes",0.0392913170014936
"LowFatGranola","CornFlakes",0.0392913168785671
"Trix","CornFlakes",0.0392913168232947
"Triples","CornFlakes",0.039291316961422
"Crispix","CornFlakes",0.0392913166596043
"Kix","CornFlakes",0.039291316654131
"LuckyCharms","CornFlakes",0.0392913166023907
"AppleCinn.Cheerios","CornFlakes",0.138636350621274
"CracklinOatBran","CornFlakes",0.0392913167436106
"BigBiscuitShdWt","CornFlakes",0.039291316914468
"HoneyBunchesofOats","CornFlakes",0.0392913167974613
"GreatGraines","CornFlakes",0.0392913168512613
"OtmlRaisinCrisp","CornFlakes",0.0392913167857028
"OatSquares","CornFlakes",0.0392913167337116
"RiceChex","CornFlakes",0.0392913167519702
"TotalRaisinBran","CornFlakes",0.0392913169085541
"Product19","CornFlakes",0.0392913168122026
"AppleJacks","CornFlakes",0.0392913166297366
"CaptCrunch","CornFlakes",0.0392913167151591
"ShreddedWheat","CornFlakes",0.0392913165714661
"FruityPebbles","CornFlakes",0.039291316641469
"Clusters","CornFlakes",0.138636350803767
"CinnamonMiniBuns","CornFlakes",0.138636350784215
"DoubleDipCrunch","CornFlakes",0.0392913169366532
"MultiGrainCheerios","CornFlakes",0.138636350855537
"Honeycomb","CornFlakes",0.0392913166892793
"Popeye","CornFlakes",0.0392913164863354
"CornFlakes","Cheerios",0.0890829968377651
"Cheerios","Cheerios",-2.35531099468617
"RiceKrispies","Cheerios",0.0890829970535283
"FrostedFlakes","Cheerios",0.0890829967316086
"RaisinBran","Cheerios",0.0890829966508675
"Total","Cheerios",0.0252472630711864
"HoneyNutCheerios","Cheerios",0.0890829967150101
"SpecialK","Cheerios",0.0252472628061409
"GrapeNuts","Cheerios",0.0252472631079753
"SpoonSizeShdWt","Cheerios",0.0252472623112326
"100%Natural","Cheerios",0.0252472627899866
"FrostedMiniWheats","Cheerios",0.0252472622476967
"NutriGrain","Cheerios",0.0252472630877246
"Mueslix","Cheerios",0.0252472626863684
"Wheaties","Cheerios",0.0890829968809043
"RaisinBran","Cheerios",0.0890829972336805
"Muesli","Cheerios",0.02524726313355
"CornPops","Cheerios",0.0890829969011169
"RaisinNutBran","Cheerios",0.0252472627767584
"Basic4","Cheerios",0.0252472626289719
"CocoaPus","Cheerios",0.0252472624299316
"GoldenGrahams","Cheerios",0.0252472627394565
"Cinn.ToastCrunch","Cheerios",0.0252472626633853
"FrootLoops","Cheerios",0.025247263161148
"LowFatGranola","Cheerios",0.0252472629377545
"Trix","Cheerios",0.0252472629139247
"Triples","Cheerios",0.0252472632046471
"Crispix","Cheerios",0.0252472623808288
"Kix","Cheerios",0.0252472626611147
"LuckyCharms","Cheerios",0.0252472626164003
"AppleCinn.Cheerios","Cheerios",0.0890829971348382
"CracklinOatBran","Cheerios",0.0252472627629571
"BigBiscuitShdWt","Cheerios",0.0252472626097002
"HoneyBunchesofOats","Cheerios",0.0252472625449768
"GreatGraines","Cheerios",0.0252472628379482
"OtmlRaisinCrisp","Cheerios",0.0252472626107279
"OatSquares","Cheerios",0.0252472626372641
"RiceChex","Cheerios",0.0252472626565283
"TotalRaisinBran","Cheerios",0.0252472624071433
"Product19","Cheerios",0.0252472628222337
"AppleJacks","Cheerios",0.0252472626471133
"CaptCrunch","Cheerios",0.0252472624198233
"ShreddedWheat","Cheerios",0.0252472627560148
"FruityPebbles","Cheerios",0.0252472627692491
"Clusters","Cheerios",0.0890829973607529
"CinnamonMiniBuns","Cheerios",0.0890829967262943
"DoubleDipCrunch","Cheerios",0.0252472628312682
"MultiGrainCheerios","Cheerios",0.089082997258792
"Honeycomb","Cheerios",0.0252472626340229
"Popeye","Cheerios",0.0252472624647857
"CornFlakes","RiceKrispies",0.0908767592000781
"Cheerios","RiceKrispies",0.0908767591485121
"RiceKrispies","RiceKrispies",-2.19880875916898
"FrostedFlakes","RiceKrispies",0.0908767590947762
"RaisinBran","RiceKrispies",0.0908767592789223
"Total","RiceKrispies",0.025755638727907
"HoneyNutCheerios","RiceKrispies",0.0908767590708101
"SpecialK","RiceKrispies",0.0257556384773606
"GrapeNuts","RiceKrispies",0.0257556386918404
"SpoonSizeShdWt","RiceKrispies",0.0257556386315772
"100%Natural","RiceKrispies",0.0257556382489459
"FrostedMiniWheats","RiceKrispies",0.0257556381943077
"NutriGrain","RiceKrispies",0.025755638684902
"Mueslix","RiceKrispies",0.0257556382558067
"Wheaties","RiceKrispies",0.0908767591540775
"RaisinBran","RiceKrispies",0.0908767595573818
"Muesli","RiceKrispies",0.0257556387566524
"CornPops","RiceKrispies",0.090876758889228
"RaisinNutBran","RiceKrispies",0.025755638464672
"Basic4","RiceKrispies",0.0257556386074029
"CocoaPus","RiceKrispies",0.0257556385655432
"GoldenGrahams","RiceKrispies",0.0257556384680795
"Cinn.ToastCrunch","RiceKrispies",0.0257556386451758
"FrootLoops","RiceKrispies",0.0257556387212055
"LowFatGranola","RiceKrispies",0.0257556386445117
"Trix","RiceKrispies",0.0257556384581815
"Triples","RiceKrispies",0.0257556389701702
"Crispix","RiceKrispies",0.0257556386218869
"Kix","RiceKrispies",0.0257556386745024
"LuckyCharms","RiceKrispies",0.0257556382417019
"AppleCinn.Cheerios","RiceKrispies",0.0908767590769177
"CracklinOatBran","RiceKrispies",0.0257556383999153
"BigBiscuitShdWt","RiceKrispies",0.0257556385165752
"HoneyBunchesofOats","RiceKrispies",0.0257556385673649
"GreatGraines","RiceKrispies",0.0257556386727652
"OtmlRaisinCrisp","RiceKrispies",0.025755638742075
"OatSquares","RiceKrispies",0.0257556386900445
"RiceChex","RiceKrispies",0.0257556385859083
"TotalRaisinBran","RiceKrispies",0.0257556385097924
"Product19","RiceKrispies",0.0257556385861212
"AppleJacks","RiceKrispies",0.0257556383959523
"CaptCrunch","RiceKrispies",0.0257556383144526
"ShreddedWheat","RiceKrispies",0.0257556383990877
"FruityPebbles","RiceKrispies",0.0257556382671919
"Clusters","RiceKrispies",0.0908767593778993
"CinnamonMiniBuns","RiceKrispies",0.0908767596508289
"DoubleDipCrunch","RiceKrispies",0.0257556384695854
